provider,case_id,query_sent,n_results,latency_ms,top1_name,top1_category,top1_id,top1_lat,top1_lon,top2_name,top3_name
nominatim,TYO-01,"Glitch Coffee & Roasters, Tokyo",1,637,"Glitch Coffee and Roasters","amenity:cafe","node/12508568356","35.6688880","139.7686729","",""
nominatim,TYO-02,"Onibus Coffee, Tokyo",2,373,"Onibus Coffee","craft:coffee_roaster","node/4729979489","35.6431844","139.6980169","Onibus Coffee",""
nominatim,TYO-03,"Fuglen Tokyo, Tokyo",1,377,"Fuglen Tokyo","amenity:cafe","node/2723034393","35.6666440","139.6924260","",""
nominatim,TYO-04,"Koffee Mameya, Tokyo",1,890,"koffee mameya","amenity:cafe","node/5941077285","35.6684763","139.7108953","",""
nominatim,TYO-05,"Bar Benfiddich, Tokyo",2,480,"Bar Benfiddich","amenity:bar","node/11327770669","35.6894987","139.6965952","ベンフィディック",""
nominatim,TYO-06,"Bar Trench, Tokyo",1,414,"Bar TRENCH","amenity:bar","node/4884402822","35.6484240","139.7079184","",""
nominatim,TYO-07,"Afuri, Tokyo",5,373,"AFURI","amenity:restaurant","node/13663884110","35.6359236","139.7399696","AFURI","Afuri"
nominatim,TYO-08,"Ichiran Shibuya, Tokyo",2,370,"一蘭","amenity:restaurant","node/4536691593","35.6609597","139.6986995","一蘭",""
nominatim,TYO-09,"猿田彦珈琲, Tokyo",3,485,"猿田彦珈琲","amenity:cafe","node/7202136541","35.6984127","139.7724866","猿田彦珈琲","猿田彦珈琲"
nominatim,TYO-10,"むぎとオリーブ, Tokyo",1,332,"Ginza Noodles むぎとオリーブ Clam Ramen","amenity:restaurant","node/6404057088","35.6689905","139.7643405","",""
nominatim,TYO-11,"Sarutahiko Coffee, Tokyo",5,418,"Sarutahiko Coffee","shop:coffee","node/13246909401","35.7008752","139.5784581","Sarutahiko coffee","sarutahiko coffee"
nominatim,TYO-12,"Fuglin Tokyo, Tokyo",0,378,"","","","","","",""
nominatim,TYO-13,"Bar Benfidich, Tokyo",0,341,"","","","","","",""
nominatim,TYO-14,"Koffee Mameya",1,349,"koffee mameya","amenity:cafe","node/5941077285","35.6684763","139.7108953","",""
nominatim,TLV-01,"Port Said, Tel Aviv",1,457,"פורט סעיד","amenity:bar","node/3398878837","32.0647773","34.7720826","",""
nominatim,TLV-02,"Cafe Levinsky 41, Tel Aviv",1,477,"Café Levinsky 41","amenity:cafe","node/5249886425","32.0598436","34.7716925","",""
nominatim,TLV-03,"Bellboy, Tel Aviv",1,828,"Bellboy","amenity:bar","node/12102940425","32.0709975","34.7802908","",""
nominatim,TLV-04,"Imperial Craft Cocktail Bar, Tel Aviv",0,404,"","","","","","",""
nominatim,TLV-05,"Miznon, Tel Aviv",2,869,"Miznon","amenity:fast_food","node/9997008817","32.0738238","34.7815808","מזנון",""
nominatim,TLV-06,"HaKosem, Tel Aviv",2,359,"הקוסם","amenity:restaurant","node/10812430078","32.0711626","34.7862575","פלאפל הקוסם",""
nominatim,TLV-07,"הקוסם, תל אביב",1,396,"הקוסם","amenity:restaurant","node/10812430078","32.0711626","34.7862575","",""
nominatim,TLV-08,"אורנה ואלה, תל אביב",0,374,"","","","","","",""
nominatim,TLV-09,"Cafe Xoho, Tel Aviv",0,574,"","","","","","",""
nominatim,TLV-10,"Anita Gelato, Tel Aviv",2,839,"Anita Gelato","amenity:ice_cream","node/2079180765","32.0626968","34.7664412","Anita Gelato",""
nominatim,TLV-11,"Port Sayid, Tel Aviv",0,408,"","","","","","",""
nominatim,TLV-12,"Belboy tel aviv",0,1015,"","","","","","",""
nominatim,TLV-13,"Oved Daniel Sabich, Givatayim",0,369,"","","","","","",""
